date,orders,holiday,rainfall_mm,temperature_c,discount_percent,new_item
2018-01-01,210,,20,26.576206857549906,,Yes
2018-01-02,222,,5,25.506174064031843,,
2018-01-03,244,,0,25.755980994186093,7,
2018-01-04,246,,20,33.82663708901081,,
2018-01-05,186,,0,26.72948272982223,27,
2018-01-06,171,,0,24.685466638600676,,
2018-01-07,214,,10,28.140393870239954,,
2018-01-08,222,,0,28.521139695642038,42,
2018-01-09,221,,5,22.065593852029643,36,
2018-01-10,248,,0,26.50796864038078,,
2018-01-11,213,,5,26.306578379507016,,
2018-01-12,187,,0,27.139278631457632,41,
2018-01-13,186,,20,31.62764186518993,,
2018-01-14,150,,10,28.683359355814414,,Yes
2018-01-15,178,,0,34.13968673692665,17,
2018-01-16,225,,0,27.941698220555924,,
2018-01-17,223,,0,36.88043640190032,,
2018-01-18,234,,0,25.696124931341735,,
2018-01-19,184,,20,24.152188094174377,,
2018-01-20,159,,0,30.73651337388487,12,
2018-01-21,223,,10,34.82040968732509,23,
2018-01-22,213,,0,21.10598347707387,13,
2018-01-23,244,,20,27.015046758928424,,
2018-01-24,220,,20,24.946090274570647,,
2018-01-25,222,,0,28.714255064960398,,
2018-01-26,210,,10,28.050089617497022,,
2018-01-27,170,,20,34.726906238138604,,
2018-01-28,207,,0,27.457976035626086,,
2018-01-29,211,,0,34.87392049485115,,
2018-01-30,242,,20,26.424498319906572,37,
2018-01-31,242,,0,32.63240937552608,41,
2018-02-01,276,,10,29.143315140683598,,
2018-02-02,213,,0,36.64942699341722,,
2018-02-03,177,,20,20.614925685927858,,
2018-02-04,221,,0,22.180711411200875,,
2018-02-05,204,Festival,20,37.158111423291935,40,
2018-02-06,257,,10,24.33367453256823,,
2018-02-07,220,,20,24.65098320962069,,
2018-02-08,217,Festival,0,23.62138207250073,,
2018-02-09,222,,20,33.742229782668616,,
2018-02-10,217,,20,21.732711933874377,,
2018-02-11,213,,10,28.112252061388304,,
2018-02-12,231,,20,26.671890891097313,,
